Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: Installing and starting initial bundles
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: All initial bundles installed and set to start
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Trying to lock /srv/opencast/opencast-dist-allinone/data/lock
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Lock acquired
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFORMATION: Lock acquired. Setting startlevel to 100
2016-04-15 02:00:38,217 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.instance.core, id 38, version 3.0.5, build number n/a
2016-04-15 02:00:38,218 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.instance.command, id 39, version 3.0.5, build number n/a
2016-04-15 02:00:38,220 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.jaas.command, id 40, version 3.0.5, build number n/a
2016-04-15 02:00:38,221 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.diagnostic.core, id 41, version 3.0.5, build number n/a
2016-04-15 02:00:38,223 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.diagnostic.command, id 42, version 3.0.5, build number n/a
2016-04-15 02:00:38,224 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.log.core, id 43, version 3.0.5, build number n/a
2016-04-15 02:00:38,225 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.log.command, id 44, version 3.0.5, build number n/a
2016-04-15 02:00:38,227 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.service.core, id 45, version 3.0.5, build number n/a
2016-04-15 02:00:38,228 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.service.command, id 46, version 3.0.5, build number n/a
2016-04-15 02:00:38,229 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.kar.core, id 47, version 3.0.5, build number n/a
2016-04-15 02:00:38,230 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.kar.command, id 48, version 3.0.5, build number n/a
2016-04-15 02:00:38,231 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.karaf.deployer.kar, id 49, version 3.0.5, build number n/a
2016-04-15 02:00:38,233 | INFO  | (BundleInfoLogger:110) - Bundle org.apache.servicemix.specs.activation-api-1.1, id 50, version 2.5.0, build number n/a
